QSD
6431
Ag;Al;Ba;1
Ag;Al;Dy;1
Ag;Al;Gd;1
Ag;Al;Li;1
Ag;Al;Mg;1
Ag;Al;S;1
Ag;Al;Se;1
Ag;Al;Tb;1
Ag;Al;Te;1
Ag;Al;Y;1
Ag;As;K;1
Ag;As;Mg;1
Ag;As;Na;1
Ag;As;S;1
Ag;As;Se;1
Ag;Au;S;1
Ag;Au;Se;1
Ag;Au;Te;1
Ag;B;S;1
Ag;Bi;Ca;1
Ag;Bi;K;1
Ag;Bi;Li;1
Ag;Bi;S;1
Ag;Bi;Se;1
Ag;Bi;Te;1
Ag;Bi;Yb;1
Ag;C;N;1
Ag;Cd;Sb;1
Ag;Ce;Ge;1
Ag;Cr;S;1
Ag;Cr;Se;1
Ag;Cr;Te;1
Ag;Cs;S;1
Ag;Cs;Se;1
Ag;Cu;S;1
Ag;Cu;Te;1
Ag;Dy;S;1
Ag;Dy;Se;1
Ag;Dy;Te;1
Ag;Er;S;1
Ag;Er;Se;1
Ag;Er;Te;1
Ag;Fe;S;1
Ag;Ga;S;1
Ag;Ga;Se;1
Ag;Ga;Te;1
Ag;Gd;S;1
Ag;Gd;Se;1
Ag;Gd;Te;1
Ag;Ge;La;1
Ag;Ge;P;1
Ag;Ge;S;1
Ag;Ge;Se;1
Ag;Ge;Te;1
Ag;Hg;S;1
Ag;Ho;S;1
Ag;Ho;Se;1
Ag;Ho;Te;1
Ag;In;La;1
Ag;In;Li;1
Ag;In;S;1
Ag;In;Se;1
Ag;In;Te;1
Ag;K;S;1
Ag;K;Sb;1
Ag;K;Se;1
Ag;Li;Pb;1
Ag;Li;Sb;1
Ag;Li;Sn;1
Ag;Lu;Se;1
Ag;Lu;Te;1
Ag;Mg;Zn;1
Ag;Mn;N;1
Ag;Mo;S;1
Ag;Mo;Se;1
Ag;Mo;Te;1
Ag;Na;S;1
Ag;Nb;S;1
Ag;Nb;Se;1
Ag;Nb;Te;1
Ag;Ni;Se;1
Ag;Ni;Te;1
Ag;P;Pd;1
Ag;P;Pt;1
Ag;P;S;1
Ag;P;Se;1
Ag;Pb;Pd;1
Ag;Pt;Si;1
Ag;Rb;S;1
Ag;Rb;Se;1
Ag;S;Sb;1
Ag;S;Si;1
Ag;S;Sm;1
Ag;S;Sn;1
Ag;S;Ta;1
Ag;S;Ti;1
Ag;S;Tl;1
Ag;S;Yb;1
Ag;Sc;Se;1
Ag;Se;Si;1
Ag;Se;Sn;1
Ag;Se;Tb;1
Ag;Se;Tl;1
Ag;Se;Tm;1
Ag;Se;Y;1
Ag;Se;Yb;1
Ag;Si;Sr;1
Ag;Si;Te;1
Ag;Sr;Zn;1
Ag;Te;Tl;1
Ag;Te;Tm;1
Ag;Te;Y;1
Al;As;Ca;1
Al;As;Cs;1
Al;As;K;1
Al;As;Na;1
Al;As;Pt;1
Al;B;Be;1
Al;B;C;1
Al;B;Cr;1
Al;B;Cu;1
Al;B;Dy;1
Al;B;Er;1
Al;B;Fe;1
Al;B;Ho;1
Al;B;Li;1
Al;B;Lu;1
Al;B;Mg;1
Al;B;Mn;1
Al;B;Mo;1
Al;B;Ru;1
Al;B;Tb;1
Al;B;Tm;1
Al;B;Y;1
Al;B;Yb;1
Al;Ba;Co;1
Al;Ba;Cu;1
Al;Ba;Fe;1
Al;Ba;Ge;1
Al;Ba;Ni;1
Al;Ba;S;1
Al;Ba;Sb;1
Al;Ba;Se;1
Al;Ba;Si;1
Al;Ba;Sn;1
Al;Bi;Ca;1
Al;C;Ce;1
Al;C;Co;1
Al;C;Cr;1
Al;C;Dy;1
Al;C;Er;1
Al;C;Fe;1
Al;C;Gd;1
Al;C;Hf;1
Al;C;Ho;1
Al;C;Lu;1
Al;C;Mn;1
Al;C;Mo;1
Al;C;N;1
Al;C;Nb;1
Al;C;Nd;1
Al;C;Ni;1
Al;C;Pr;1
Al;C;Pt;1
Al;C;Sc;1
Al;C;Si;1
Al;C;Sm;1
Al;C;Ta;1
Al;C;Tb;1
Al;C;Ti;1
Al;C;Tm;1
Al;C;U;1
Al;C;V;1
Al;C;Y;1
Al;C;Yb;1
Al;C;Zr;1
Al;Ca;Cd;1
Al;Ca;Co;1
Al;Ca;Cr;1
Al;Ca;Cu;1
Al;Ca;Ge;1
Al;Ca;Li;1
Al;Ca;Ni;1
Al;Ca;Pd;1
Al;Ca;S;1
Al;Ca;Sb;1
Al;Ca;Se;1
Al;Ca;Si;1
Al;Ca;Te;1
Al;Cd;S;1
Al;Cd;Se;1
Al;Cd;Te;1
Al;Ce;Co;1
Al;Ce;Cr;1
Al;Ce;Fe;1
Al;Ce;Ge;1
Al;Ce;N;1
Al;Ce;Ni;1
Al;Ce;S;1
Al;Ce;Se;1
Al;Co;Cu;1
Al;Co;La;1
Al;Co;Nd;1
Al;Co;Pr;1
Al;Co;Sm;1
Al;Co;Sr;1
Al;Co;Y;1
Al;Cr;Er;1
Al;Cr;Eu;1
Al;Cr;Gd;1
Al;Cr;Ho;1
Al;Cr;La;1
Al;Cr;Mg;1
Al;Cr;Nd;1
Al;Cr;Pr;1
Al;Cr;S;1
Al;Cr;Si;1
Al;Cr;U;1
Al;Cr;Y;1
Al;Cs;P;1
Al;Cu;Dy;1
Al;Cu;Er;1
Al;Cu;Eu;1
Al;Cu;Fe;1
Al;Cu;Ho;1
Al;Cu;Li;1
Al;Cu;Mg;1
Al;Cu;Ni;1
Al;Cu;S;1
Al;Cu;Se;1
Al;Cu;Sr;1
Al;Cu;Tb;1
Al;Cu;Te;1
Al;Cu;Tm;1
Al;Cu;Yb;1
Al;Cu;Zn;1
Al;Dy;Fe;1
Al;Dy;Ge;1
Al;Dy;Ni;1
Al;Dy;S;1
Al;Dy;Se;1
Al;Er;Ge;1
Al;Er;Mo;1
Al;Er;Ni;1
Al;Er;S;1
Al;Eu;Fe;1
Al;Eu;Mn;1
Al;Eu;S;1
Al;Eu;Se;1
Al;Eu;V;1
Al;Fe;La;1
Al;Fe;Mn;1
Al;Fe;Nd;1
Al;Fe;Pr;1
Al;Fe;S;1
Al;Fe;Si;1
Al;Fe;Sm;1
Al;Fe;Tb;1
Al;Gd;Ge;1
Al;Gd;Mo;1
Al;Gd;Ni;1
Al;Gd;S;1
Al;Gd;Se;1
Al;Ge;Ho;1
Al;Ge;K;1
Al;Ge;La;1
Al;Ge;Li;1
Al;Ge;Lu;1
Al;Ge;Na;1
Al;Ge;Nd;1
Al;Ge;Pr;1
Al;Ge;Sc;1
Al;Ge;Sm;1
Al;Ge;Sr;1
Al;Ge;Tb;1
Al;Ge;Tm;1
Al;Ge;W;1
Al;Ge;Y;1
Al;Ge;Yb;1
Al;H;Na;1
Al;H;Th;1
Al;Hf;Ni;1
Al;Hg;S;1
Al;Hg;Se;1
Al;Hg;Te;1
Al;Ho;Ni;1
Al;Ho;S;1
Al;Ho;Se;1
Al;Ir;Nb;1
Al;K;Sb;1
Al;La;N;1
Al;La;Ni;1
Al;La;S;1
Al;La;Se;1
Al;Li;N;1
Al;Li;Pd;1
Al;Li;Pt;1
Al;Li;Rh;1
Al;Li;S;1
Al;Li;Si;1
Al;Li;Zn;1
Al;Lu;Ni;1
Al;Mg;Mn;1
Al;Mg;Mo;1
Al;Mg;O;1
Al;Mg;S;1
Al;Mg;Se;1
Al;Mg;Ta;1
Al;Mg;Ti;1
Al;Mg;V;1
Al;Mg;W;1
Al;Mg;Zn;1
Al;Mn;Ni;1
Al;Mn;S;1
Al;Mn;Si;1
Al;Mn;Te;1
Al;Mn;Zn;1
Al;Mo;S;1
Al;Mo;Se;1
Al;Mo;Yb;1
Al;N;Nd;1
Al;N;Pr;1
Al;N;Sm;1
Al;N;Ti;1
Al;Na;S;1
Al;Na;Sb;1
Al;Nb;Ni;1
Al;Nb;Se;1
Al;Nd;Ni;1
Al;Nd;S;1
Al;Nd;Se;1
Al;Ni;Pr;1
Al;Ni;Sr;1
Al;Ni;Tb;1
Al;Ni;Tm;1
Al;Ni;U;1
Al;Ni;Y;1
Al;Ni;Zr;1
Al;P;Pt;1
Al;P;S;1
Al;P;Si;1
Al;Pb;S;1
Al;Pb;Se;1
Al;Pr;S;1
Al;Pr;Se;1
