QSD DISCOVERY SPACE
 72.52747; 72.93520; 33.95348
 67.03297; 66.20077; 54.41859
 71.42857; 66.20077; 54.41859
 20.87912; 76.87421; 33.95348
 39.56044; 75.60355; 33.95348
  7.69231; 87.16645; 56.27906
 38.46154; 76.74714; 33.95348
 59.34066; 66.20077; 54.41859
 24.17583; 73.31638; 33.95348
 58.24176; 64.93011; 59.06976
 79.12088; 75.22236; 33.95348
 16.48352; 70.01270; 40.46511
  8.79121; 76.11182; 33.95348
 61.53846; 66.20077; 54.41859
 73.62637; 75.60355; 33.95348
 64.83516; 66.20077; 54.41859
 17.58242; 74.58704; 33.95348
 69.23077; 66.20077; 54.41859
 94.50549; 72.55400; 33.95348
 18.68132; 79.16137; 33.95348
 36.26374; 68.86912; 44.65116
 70.32967; 64.93011; 59.06976
 37.36264; 72.55400; 33.95348
 38.46154; 53.49428; 21.86047
 15.38461; 57.56035; 25.58140
 12.08791; 61.11817; 38.60465
 17.58242; 49.42821; 26.04651
 20.87912; 60.99111; 38.13953
 18.68132; 47.14104; 34.41860
 16.48352; 58.06861; 27.44186
 36.26374; 62.13469; 42.32558
  7.69231; 69.37738; 68.83721
 41.75824; 62.89708; 45.11628
 23.07692; 67.97967; 63.72093
  7.69231; 60.86404; 37.67442
 42.85714; 65.94663; 56.27908
 38.46154; 72.29987; 58.13954
 38.46154; 70.90216; 53.02325
 42.85714; 68.86913; 45.58140
 49.45055; 56.67090; 28.83721
 49.45055; 60.22871; 41.86046
 49.45055; 56.03558; 26.51162
 49.45055; 60.10165; 41.39534
 56.04396; 71.02923; 81.39534
 49.45055; 57.17916; 30.69767
 49.45055; 68.48794; 72.09303
 49.45055; 67.09021; 66.97674
 17.58242; 56.41677; 29.76744
 48.35165; 59.84752; 17.20930
 51.64835; 57.94156; 24.18604
 50.54945; 56.67090; 28.83721
 53.84615; 57.94156; 24.18604
 27.47253; 57.05210; 27.44186
 28.57143; 60.60991; 14.41861
 60.43956; 61.49937; 37.20930
 54.94505; 60.86404; 39.53488
 56.04396; 60.22871; 41.86046
 59.34066; 61.49937; 37.20930
 48.35165; 63.40533; 30.23256
 13.18681; 62.89708; 32.09303
 51.64835; 61.49937; 37.20930
 50.54945; 60.22871; 41.86046
 12.08791; 79.92376; 46.97675
 12.08791; 71.41042; 16.74419
 86.81319; 67.85261; 16.74419
 28.57143; 64.16772; 27.44186
 46.15385; 60.10165; 72.09302
 58.24176; 49.17408; 26.04651
 60.43956; 49.80941; 26.04651
 54.94505; 49.17408; 26.04651
 17.58242; 55.78145; 27.44186
 59.34066; 49.80941; 26.04651
 28.57143; 45.99746; 34.41860
 18.68132; 51.20711; 26.04651
 17.58242; 56.92503; 31.62790
 17.58242; 68.23380; 73.02325
 23.07692; 66.83609; 67.90697
 27.47253; 48.91995; 26.04651
 57.14286; 49.80941; 26.04651
 42.85714; 64.80305; 60.46512
 61.53846; 49.80941; 26.04651
 62.63736; 48.53876; 26.04651
 18.68132; 52.85896; 26.04651
 58.24176; 56.67090; 24.18604
 58.24176; 60.73697; 39.06977
 58.24176; 57.81449; 28.37209
 58.24176; 69.12325; 69.76745
 58.24176; 67.72554; 64.65116
 60.43956; 61.37230; 36.74418
 60.43956; 60.73698; 34.41860
 60.43956; 58.44981; 26.04651
 60.43956; 69.75858; 67.44186
 54.94505; 56.67090; 24.18604
 54.94505; 61.37230; 41.39534
 54.94505; 69.12325; 69.76745
 54.94505; 67.72554; 64.65116
 54.94505; 63.65947; 49.76744
 48.35165; 59.21220; 14.88372
 14.28571; 67.97967; 18.60465
 51.64835; 57.30623; 21.86046
 50.54945; 56.03558; 26.51162
 14.28571; 75.73062; 46.97675
 14.28571; 67.21728; 15.81395
 53.84615; 57.30623; 21.86046
 57.14286; 57.30623; 21.86046
 56.04396; 60.10165; 41.39534
 56.04396; 59.46633; 39.06977
 56.04396; 57.17916; 30.69767
 56.04396; 68.48794; 72.09303
 56.04396; 67.09021; 66.97674
 59.34066; 61.37230; 36.74418
 20.87912; 56.28971; 55.34883
 48.35165; 63.27827; 29.76744
 31.86813; 57.56036; 50.69767
 63.73626; 61.37230; 36.74418
 23.07692; 57.43329; 51.16279
 51.64835; 61.37230; 36.74418
 50.54945; 60.10165; 41.39534
 20.87912; 65.18425; 22.79070
 53.84615; 61.37230; 36.74418
 27.47253; 60.48285; 40.00000
